id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23726706,Private room 20 minutes from Amsterdam + Breakfast,122619127,Patricia,,IJburg - Zeeburgereiland,52.34916,4.97879,Private room,88,2,78,2022-05-29,1.53,1,66,11,038469D9AA6BDF1142CE
35815036,"Vrijstaand vakantiehuis, privé tuin aan het water",269425139,Lydia,,Noord-Oost,52.42419,4.95689,Entire home/apt,105,3,95,2022-06-02,2.65,1,243,36,
31553121,Quiet Guesthouse near Amsterdam,76806621,Ralf,,Noord-West,52.43237,4.91821,Entire home/apt,152,2,82,2022-05-29,2.02,1,3,26,
34745823,"Apartment ' Landzicht', nearby Amsterdam",238083700,Daisy,,Gaasperdam - Driemond,52.2962,5.01231,Entire home/apt,87,2,39,2022-04-17,1.08,3,290,4,
44586947,"Weesp, 2 kamers vlakbij Amsterdam",360838688,Aranka,,Gaasperdam - Driemond,52.31475,5.0303,Private room,160,2,15,2022-05-29,0.68,1,152,12,
15801253,Studio with own bathroom & kitchen at East A'dam,21813940,Nan,,Watergraafsmeer,52.34507,4.96413,Private room,90,2,46,2022-05-29,0.89,1,164,7,0384 81F7 167A BBAA 3BE2
19572024,"Coachhouse, in nature only 5 km from Amsterdam",81955946,Amber,,Watergraafsmeer,52.30739,4.90833,Entire home/apt,279,3,126,2022-05-29,2.13,2,298,23,
18801518,Coronaproof studio 20 min to A'dam Centre 2-4 pers,75979829,Randje Amsterdam,,Watergraafsmeer,52.33828,4.96443,Private room,140,2,85,2022-04-17,1.42,1,234,5,038429E48399CA3E3903
2973384,House on Amstel River Amsterdam,15166925,Gijs,,Watergraafsmeer,52.30989,4.90528,Entire home/apt,185,6,7,2022-01-06,0.15,1,13,2,
34985473,Familyhouse on the water side and near Amsterdam,30405589,Erigone,,Noord-Oost,52.42831,5.042191,Entire home/apt,135,6,7,2021-08-22,0.20,4,59,3,
